Type	Label	Description	German Text	If	Learn	Goto	Accuracy	Mode
output	ask_hamburger_sv		"Der Hamburger SV ist ein Sportverein aus Hamburg, der in erster Linie durch seine Fußballabteilung bekannt wurde.  / Mit 74.335 Mitgliedern in 34 Abteilungen ist der Hamburger SV der viertgrößte Sportverein Deutschlands.  / Die Vereinsfarben des Hamburger SV sind laut Satzung Blau, Weiß und Schwarz.  / Das Heimtrikot Hamurger SV besteht aus weißen Trikots und roten Hosen, den Farben Hamburgs.  / Der Hamurger SV spielt in der Bundesliga und hat als einzige Mannschaft an jeder Saison seit 1963 teilgenommen.  / Der Hamburger SV gehört seit 1919 ununterbrochen der jeweils höchsten Spielklasse an.  / Der Hamurger SV liegt hinter dem FC Bayern München und Werder Bremen auf Platz drei der ewigen Tabelle der Bundesliga.  / Auf nationaler Ebene wurde der Hamburger SV sechsmal deutscher Meister, dreimal DFB-Pokalsieger und zweimal Ligapokalsieger.  / International gewann der Hamurger SV 1977 den Europapokal der Pokalsieger und 1983 den Europapokal der Landesmeister.  / Spielstätte des Hamurger SV ist die Imtech Arena.  / Die Fußballerinnen des Hamburger SV spielten seit dem jüngsten Aufstieg im Jahre 2003 in der Frauen-Bundesliga.   / Der Hamburger SV selbst nennt offiziell den 29. September 1887 als sein Gründungsdatum.  / In seiner Geschichte wurde der Hamburger SV sechsmal Deutscher Meister im Fußball sowie dreimal DFB-Pokalsieger.   / Den Europapokal der Landesmeister gewann der Hamurger SV 1983.  / Den höchsten Heimsieg in der Bundesliga erzielte der Hamburger SV am 12. Februar 1966 beim 8 zu 0 gegen den Karlsruher SC.  / In der Zeit vom 16. Januar 1982 bis zum 29. Januar 1983 blieben die Hanseaten in 36 Spielen hintereinander saisonübergreifend ungeschlagen.  / In den Spielzeiten 1979/80 bis 1985/86, also sieben Jahre in Folge, spielte der HSV in einem europäischen Wettbewerb.  / Die Jugendabteilung des Hamburger SV besteht aus derzeit zehn Mannschaften.  / Der Hamburger SV hat in Deutschland und im Ausland mehr als 700 offiziell registrierte Fanclubs."					
output	ask_1._fc_köln		"Der 1. FC Köln ist mit über 68.000 Mitgliedern der größte Sportverein in Köln.  / Der 1. FC Köln entstand am 13. Februar 1948 aus dem Zusammenschluss der beiden größten Fußballvereine in Köln.  / Der 1. FC Köln war Gründungsmitglied der Bundesliga und konnte sich bis 1998 35 Jahre ununterbrochen in der höchsten deutschen Spielklasse halten.  / Seit 2014 spielt der der 1. FC Köln als Meister der Zweiten Bundesliga nach dem fünften Aufstieg wieder erstklassig.  / Der 1. FC Köln belegt den achten Platz in der ewigen Tabelle der Bundesliga.  / In der Saison 2008/09 verzeichnete der 1. FC Köln zu Beginn einen neuen Rekord an verkauften Dauerkarten und eine nochmals deutlich gesteigerte Mitgliederzahl.  / Zur Saison 2009/10 kehrte Nationalspieler Lukas Podolski nach Köln zurück.  / Die Heimstätte des 1. FC Köln ist das RheinEnergieStadion.  / In der Saison 2001/2002 blieb der FC in 1.034 aufeinanderfolgenden Minuten ohne Torerfolg.  / Im Kölner Stadion ist immer so eine super Stimmung, da stört eigentlich nur die Mannschaft.  / Der Geißbock Hennes ist im Wappen des 1. FC Köln abgebildet ist.   / Nach einer durchwachsenen Saison gelang dem 1. FC Köln am vorletzten Spieltag der Saison 2007/08 der Wiederaufstieg.  / Bereits 1949 stieg 1. FC Köln nach zwei Siegen in den Bezirksendspielen gegen Bayer 04 Leverkusen in die Oberliga West auf.  / Der FC Köln wurde mit seiner Fußballabteilung in den 1950er und Anfang der 1960er Jahre insgesamt fünfmal Meister und dreimal Vizemeister der Oberliga West und nahm so achtmal an einer Endrunde zur Deutschen Meisterschaft teil."					
output	ask_kuchen		"Der Kuchen gehört zu den feinen Backwaren.  / Beim Kuchen handelt es sich um ein zumeist süßes Backwerk.  / Man unterscheidet vor allem nach der Art der Herstellung Blechkuchen sowie Kuchen, die in einer Backform gebacken werden.  / Im Gegensatz zu einer Torte wird ein Belag oder eine Füllung beim Kuchen nicht nach dem Backen zugesetzt, sondern mitgebacken.  / Zum Teil wird der Kuchen nach dem Backen glasiert.  / Herzhafte Kuchen sind Zwiebelkuchen, Flammkuchen, Speckkuchen und Quiche.  / Der Kuchenteig besteht je nach Rezept aus Mehl, Zucker, Bindemittel  sowie Fett und einem Triebmittel, die miteinander vermengt werden.  / Wichtige Kuchenteigarten sind Hefeteig, Mürbeteig und Rührteig.  / Das Backen von Kuchen ist vor allem in Europa und Nordamerika traditionell verbreitet, während es auf anderen Kontinenten nur eine untergeordnete Rolle spielt.  / In Europa wird Kuchen traditionell nachmittags zu Kaffee und Kuchen oder zum Sonntagskaffee verzehrt.  / Ursprünglich gehörte das Backen von Kuchen zu den Aufgaben der Hausfrau, während heute weniger Kuchen selber gebacken wird.  / Häufig wird Kuchen zum Geburtstag und zu besonderen Anlässen gebacken.  / Spätestens im 17. Jahrhundert wurden frühe Modelle der Springform zum Kuchenbacken verwendet."					
output	ask_herzberg		"Herzberg am Harz ist eine Stadt im Landkreis Osterode am Harz im Süden von Niedersachsen..  / Die Stadt Herzberg am Harz liegt am Austritt der kleinen Flüsse Sieber und Lonau aus dem Mittelgebirge Harz.  / Von Göttingen liegt Herzberg 32 km in nordöstlicher Richtung.  / Herzberg liegt 90 Kilometer in südöstlicher Richtung von Hannover.  / Oberhalb des Ortskerns von Herzberg liegt das Schloss Herzberg.  / Das Schloss Herzberg wird erstmals in einer Schenkungsurkunde Heinrichs des Löwen aus dem Jahre 1154 erwähnt.  / Herzberg erschien erstmals 1337 urkundlich als landesherrliches Gut unterhalb des Schlosses.  / Von sehr frühem Siedlungsbeginn im Raum des heutigen Herzberg ist auszugehen.  / Der Ortsnamensteil Herz- könnte von Hirsch stammen, da im 12. Jahrhundert der Stammvokal -i- zu -e- abgeschwächt wurde.  / Verwaltungsmäßig bestand seit 1315 das Amt Herzberg, das 1859 mit dem Amt Scharzfels vereinigt wurde.  / 1598 wurde Herzberg als Flecken bezeichnet.  / Stadtrechte erhielt Herzberg durch Verordnung des Preußischen Staatsministeriums am 25. Oktober 1929.  / In der näheren Umgebung von Herzberg gibt es einige mittelalterliche Wüstungen.  / Wegen seiner Wirtschaftskraft war Herzberg schon früh ein regionales Zentrum für sein Umland.   / Der bedeutendste Wirtschaftsfaktor Herzbergs war im 18. und 19. Jahrhundert die Waffenproduktion.  / Der Rat der Stadt Herzberg am Harz besteht aus 31 Ratsfrauen und Ratsherren, mit dem hauptamtlichen Bürgermeister.  / Das Schloss Herzberg, das auf einer Bergkuppe über dem Ort liegt, ist eines der wenigen Schlösser in Niedersachsen in Fachwerkbauweise.   / Die Nicolaikirche Herzberg wurde an Stelle der wegen Baufälligkeit abgetragenen ersten Nicolaikirche errichtet und 1845 geweiht.  / Herzberg liegt am Rand des Nationalparks Harz.  / Herzberg liegt am Weser-Harz-Heide-Radfernweg und am Harzrundweg.  / Seit einem Beschluss des Stadtrates vom 11. Juli 2006 trägt Herzberg den Namenszusatz Esperanto-Stadt.  / Herzberg liegt an den Bundesstraßen 27 und 243.  / In Herzberg gibt es vier Grundschulen."					
output	ask_eishockey		"Eishockey ist eine Mannschaftssportart, die mit fünf Feldspielern und einem Torwart auf einer etwa 60 Meter langen und 30 Meter breiten Eisfläche gespielt wird.  / Ziel beim Eishockeyspiel ist es, das Spielgerät, den Puck, in das gegnerische Tor zu befördern.  / Der Eishockeysport entstand zwischen 1840 und 1875 in Kanada, wo britische Soldaten das schottische Shinty auf Schnee und Eis spielten.  / Die Bezeichnung Hockey kommt aus dem Französischen und bedeutet krummer Stock.  / Eishockey ist durch die Internationale Eishockey-Föderation international organisiert.   / Als spielerisch beste Eishockeyliga der Welt gilt die nordamerikanische National Hockey League.  / Das eigentliche Eishockey entstand mit größter Wahrscheinlichkeit im heutigen Kanada.   / Das erste Spiel Eishoeckeyspiel in einer Halle mit festen Regeln fand am 3. März 1875 im Victoria Skating Rink in Montréal statt.  / In Kanada gilt der Eishockeysport als Nationalsport.  / 1917 wurde die Eishockeyprofiliga gegründet, die zunächst nur kanadische, später auch US-amerikanische Mannschaften umfasste.  / Das Eishockey für Frauen entwickelte sich aus dem Herreneishockey und unterscheidet sich von diesem in verschiedenen Regelanpassungen.  / Beim Eishockey muss der Puck mit Schlägern in das gegnerische Tor geschoben oder geschossen werden.  / Eishockey gilt als sehr schnelle Mannschaftssportart und ist zudem ein sehr körperbetonter Sport.  / Die Tore beim Eishockey haben eine Höhe von 1,22 Meter und eine Breite von 1,83 Meter.  / Eine Eishockeymannschaft besteht für gewöhnlich aus bis zu 22 Spielern.   / Ein Eishockeyspiel dauert netto 60 Minuten.  / Beim Eishockey gibt es formell keine Eigentore, der Treffer wird dem Spieler der angreifenden Mannschaft zugeschrieben, der den Puck zuletzt berührt hat.  / Das taktische Denken im Eishockey begann erst in den 1950er Jahren.  / Weit verbreitet ist Eishockey vor allem in Kanada, Russland, den USA, Tschechien und der Slowakei.  / Ende des 19. Jahrhunderts breitete sich der in Kanada entstandene Eishockeysport allmählich in ganz Europa aus.  / In Deutschland war zunächst Berlin Ursprungsort des Eishockeys, später folgten vor allem die süddeutschen Gebiete.  / Im kanadischen und amerikanischen Englisch wird Eishockey generell als Hockey bezeichnet."					
output	ask_saarland		"Das Saarland ist ein Land im Südwesten der Bundesrepublik Deutschland.  / Das Saarland grenzt im Norden und Osten an das Land Rheinland-Pfalz, im Süden an Frankreich und im Westen an Luxemburg.   / Das Saarland ist von den Flächenländern das kleinste und gemessen an der Einwohnerzahl das zweitkleinste Land vor Bremen.  / Als politische Einheit entstand das Saarland als Saargebiet im Jahre 1920 infolge des Versailler Vertrages.  / Das Saarland wurde aus dem Deutschen Reich ausgegliedert und unterstand als Mandatsgebiet 15 Jahre lang dem Völkerbund.  / Das Saargebiet war 1920 kleiner als das spätere Saarland, da die damals festgelegte Nordgrenze südlicher als die heutige lag.  / 1935 wurde das Saargebiet wieder in Deutsche Reich eingegliedert.  / Nach dem Zweiten Weltkrieg gehörte das Gebiet des heutigen Saarlandes bis 1947 zur französischen Besatzungszone.  / Nach einer Volksabstimmung im Jahre 1955 trat das Saarland 1957 der Bundesrepublik Deutschland politisch bei.  / Das Saarland erstreckt sich über Teile des Hunsrücks mit dem Schwarzwälder Hochwald.  / Das Saarland ist eine historisch sehr junge politische Einheit.  / Der größte Ballungsraum im Saarland sind die Achsen DillingenSaarbrücken und SaarbrückenNeunkirchen.  / Das Gebiet des heutigen Saarlandes war nie französischsprachig.   / Seit einiger Zeit hat das Saarland mit einem signifikanten Bevölkerungsrückgang zu kämpfen.  / Die Universität des Saarlandes, die 1948 gegründet wurde, hat ihre Standorte in Saarbrücken und Homburg.  / Die Hochschule für Musik Saar wurde 1947 als Staatliches Konservatorium gegründet.   / Nirgendwo in Deutschland fand sich ein so dichtes Schienennetz für den Personenverkehr wie im Saarland, bis die Deutsche Bundesbahn in den 1960er Jahren begann, viele Strecken nicht mehr zu bedienen.  / Saarbrücken ist an das französische Hochgeschwindigkeitsnetz LGV Est européenne angebunden.  / Das Saarland ist neben der Freien Hansestadt Bremen das kleinste Bundesland mit einer eigenen öffentlich-rechtlichen Rundfunkanstalt.  / Das Saarland besitzt mit der Deutschen Radio Philharmonie Saarbrücken Kaiserslautern einen Klangkörper von europäischem Rang.   / Jährlich im Januar findet in Saarbrücken das international bedeutendste Festival des deutschsprachigen Nachwuchsfilms statt.  / Die ursprüngliche saarländische Küche ist recht einfach.  / Das Saarland stellte bei den Olympischen Sommerspielen 1952 in Helsinki das erste Mal eine eigenständige, zweite deutsche Olympiamannschaft."					
output	ask_bayern		"Der Freistaat Bayern ist ein Land im Südosten der Bundesrepublik Deutschland.  / Bayern ist das flächengrößte deutsche Land und steht nach der Einwohnerzahl hinter Nordrhein-Westfalen an zweiter Stelle.  / Im Süden und Südosten grenzt Bayern an Österreich, im Osten an Tschechien und im Westen an Baden-Württemberg.  / Im Nordwesten grenzt Bayern an Hessen, im Norden an Thüringen und im Nordosten an Sachsen.  / Die Landeshauptstadt Bayerns ist München in Oberbayern.  / Die Bezeichnung Freistaat trägt Bayern seit seiner Ausrufung im November 1918 als ein monarchiefreier Staat.  / Bayern liegt fast vollständig im oberdeutschen Sprachraum.  / Traditionell gliedert sich Bayern in die drei Landesteile Franken, Schwaben und Altbayern.  / Der südlichst gelegene Ort in Bayern ist Einödsbach, der westlichste Großwelzheim, der nördlichste Weimarschmieden und der östlichste Ort ist Breitenberg.   / Die niedrigste Stelle von Bayern ist mit 100 Metern der Wasserspiegel des Mains in Kahl am Main.  / Die heute allein verwendete Schreibweise des Landesnamens mit y geht auf eine Anordnung von König Ludwig I. vom 20. Oktober 1825 zurück.  / Die sieben Regierungsbezirke unterteilen sich in 71 Landkreise und 25 kreisfreie Städte sowie 29 Große Kreisstädte.  / Bayern gilt als sehr wirtschaftsstarker und reicher Staat.  / Bayern hat sich in den letzten Jahrzehnten vom Agrar- zum Technologiestandort entwickelt.   / In Bayern sind im Jahr 2013 ungefähr 420 Energieversorger angesiedelt.  / Bayern kann auf eine über 1000 Jahre alte Kultur- und Geistesgeschichte zurückblicken.  / Bayern ist mit über 1150 Museen das museumsreichste Land der Bundesrepublik.  / In Bayern sind über 2.500 Geotope vom Bayerischen Landesamt für Umwelt ausgewiesen.  / Bayern ist das Land der traditionellen Volksmusik, der Jodler und Schuhplattler.  / Der Freistaat Bayern besteht aus 2056 politisch selbständigen Gemeinden."					
output	ask_kassel		"Kassel ist eine kreisfreie Stadt und Verwaltungssitz des gleichnamigen Regierungsbezirkes und des Landkreises Kassel.  / Kassel ist nach Frankfurt am Main und Wiesbaden die drittgrößte Stadt Hessens.  / Mit über 100.000 Bürgern wurde Kassel 1899 zur Großstadt.  / Im Dezember 2012 hatte Kassel 192.874 Einwohner.  / Ab 1277 war Kassel Hauptstadt der Landgrafschaft Hessen.  / Mit der documenta beherbergt die Stadt alle fünf Jahre die weltweit bedeutendste Ausstellung zeitgenössischer Kunst.  / Seit März 1999 trägt Kassel die amtliche Zusatzbezeichnung documenta-Stadt.  / Kassel befindet sich etwa 70 Kilometer nordwestlich des geografischen Mittelpunkts von Deutschland.   / Das Stadtgebiet von Kassel ist in 23 Ortsbezirke eingeteilt,  / Das Klima ist in Kassel deutlich milder und wärmer als im umgebenden Mittelgebirge.   / Die erste Erwähnung des Königshofes Kassel findet sich auf zwei Urkunden des deutschen Königs Konrad I. aus dem Jahr 913.  / 1189 war Kassel erstmals als Stadt im heutigen Sinne bezeugt.  / Im frühen 19. Jahrhundert bildete sich in Kassel mit Personen wie Achim von Arnim, Clemens Brentano und den Brüdern Grimm ein Kreis der Romantiker.   / Die Bewerbung Kassels 1949 als neue Hauptstadt der Bundesrepublik Deutschland war nicht erfolgreich.   / Grundlage der heutigen Museumslandschaft in Kassel waren die Sammlungen der Landgrafen und Kurfürsten von Hessen-Kassel.  / Seit 1955 findet in Kassel in einem fünfjährigen Turnus die Weltkunstausstellung documenta statt.   / Mit dem Bergpark Wilhelmshöhe und der Karlsaue ist Kassel mit zwei Parks in dem European Garden Heritage Network vertreten.  / Die Kassel Huskies waren 1994 Gründungsmitglied der Deutschen Eishockey Liga."					
output	ask_Ilmenau		"Die Goethe- und Universitätsstadt Ilmenau liegt in Thüringen, etwa 33 Kilometer südwestlich der Landeshauptstadt Erfurt.  / Ilmenau ist die größte Stadt im Ilm-Kreis und die elftgrößte Stadt Thüringens.  / Wichtigste Institution Ilmenaus ist die Technische Universität, an der rund 7000 Studierende eingeschrieben sind.  / Die Technische Universität Ilmenau ist nach der Friedrich-Schiller-Universität in Jena die zweitgrößte in Thüringen.  / Tragende Wirtschaftszweige in Ilmenau sind die Glasindustrie und der Maschinenbau.  / Ilmenaus Bedeutung wuchs, als nach der Gründung des Deutschen Reiches 1871 die Industrialisierung einsetzte.   / Zeit Goethes und in den darauffolgenden Jahrzehnten war Ilmenau ein beliebtes Ausflugs- und Urlaubsziel der Weimarer Prominenz.  / Ilmenau wurde 1273 erstmals urkundlich erwähnt und gehörte zur Grafschaft Kevernburg.  / Die Stadtrechte wurden Ilmenau 1341 verliehen.  / Die höchste Einwohnerzahl erreichte Ilmenau im Jahr 1989 mit 29.293 Einwohnern.  / Bis zum Ersten Weltkrieg war Ilmenau ein Kurbad.  / Goethe weilte insgesamt 28 mal in Ilmenau.  / Die Kultur Ilmenaus ist stark durch das Wirken Goethes in der Stadt geprägt.  / Ilmenau ist die einzige Stadt, der ein ganzes Werk Goethes gewidmet ist und der er damit ein poetisches Denkmal setzte.  / Ilmenau besitzt einen kleinen Altstadtkern, der in den Jahren 1752 bis etwa 1760 nach dem letzten großen Stadtbrand von 1752 entstand.   / In Ilmenau stehen etwa 110 Einzelobjekte unter Denkmalschutz.   / 1880 wurde in Ilmenau der Thüringerwald-Verein gegründet.  / Ilmenau ist ein beliebtes Ziel für Wanderer und Touristen, die den Thüringer Wald besuchen."					
output	ask_kanada		"Kanada ist ein nordamerikanischer Staat, der zwischen dem Atlantik im Osten und dem Pazifik im Westen liegt.  / Die einzige Landgrenze in Kanada ist jene zu den USA im Süden und im Nordwesten.  / Der Fläche nach ist Kanada der zweitgrößte Staat der Erde.  / Städtische Ballungsräume existieren in Kanada nur im Süden.  / Amtssprachen in Kanada sind Englisch und Französisch.   / Kanada ist mit einer Fläche von 9.984.670 Quadratkilometern nach Russland das zweitgrößte Land der Erde und fast so groß wie Europa.  / Kanada nimmt rund 41 Prozent Nordamerikas ein.  / 867 gründeten vier britische Kolonien die Kanadische Konföderation.  / Mit dem Statut von Westminster erhielt Kanada 1931 gesetzgeberische Unabhängigkeit.  / Nominelles Staatsoberhaupt in Kanada ist Königin Elisabeth II., die durch einen Generalgouverneur vertreten wird.  / Kanada ist ein parlamentarisch-demokratischer Bundesstaat und eine parlamentarische Monarchie.  / Die Gesamtlänge der Grenze zwischen Kanada und den USA beträgt 8890 Kilometer.  / Kanada hat mit 243.042 Kilometern die längste Küstenlinie der Welt.  / Kanada hat Anteil an sechs Zeitzonen.  / Die höchsten kanadischen Gebirgsregionen liegen im Westen mit den Rocky Mountains.  / Der wichtigste Fluss Kanadas ist der 3058 Kilometer lange Sankt-Lorenz-Strom.  / 7,6 Prozent der Landmasse Kanadas sind mit rund zwei Millionen Seen bedeckt.  / Die Bevölkerung Kanadas konzentriert sich auf einem bis zu 350 Kilometer breiten Streifen entlang der Grenze zu den USA.  / Der Großteil der Bevölkerung Kanadas lebt in den Provinzen Ontario und Québec.  / Die Lebenserwartung eines neugeborenen Kanadiers liegt laut CIA Factbook bei 81,16 Jahren.  / Toronto ist mit 2,6 Millionen Einwohnern die größte Stadt Kanadas und die Hauptstadt der Provinz Ontario."					
output	ask_loreley		"Die Loreley ist ein Schieferfelsen im UNESCO-Welterbe Oberes Mittelrheintal bei Sankt Goarshausen in Rheinland-Pfalz  / Die Loreley befindet sich am östlichen Rheinufer 132 Meter steil aufragend an der Innenseite einer Rheinkurve.   / Die Loreley mit Blick auf die Rheinkurven und auf Sankt Goarshausen mit der Burg Katz ist ein Anziehungspunkt für Touristen.  / Wenige hundert Meter von der Loreley entfernt befindet sich die 1939 erbaute Freilichtbühne Loreley.  / Loreley ist auch der Name einer Nixe auf diesem Felsen.  / Der aus dem 19. Jahrhundert stammenden Legende zufolge kämmte die Nixe Lorely am Felsen ihre langen, goldenen Haare.  / Die Loreley liegt im Rhein-Lahn-Kreis auf dem Gebiet der Verbandsgemeinde Loreley.  / Das Loreley-Plateau ist Teil der Ortsgemeinde Bornich, während die ringsum vom Rhein aufragenden Steilhänge und Klippen zum Stadtgebiet von Sankt Goarshausen gehören.  / Die Loreley liegt im Zentrum des Naturraums Sankt Goarer Tal als Teil der naturräumlichen Haupteinheit Oberes Mittelrheintal.  / Die Herkunft des Namens Loreley ist nicht eindeutig geklärt.  / Schon im Mittelalter war die Loreley ein bekannter Ort.  / Auch wenn die gefährlichsten Felsen gesprengt wurden, ist die Fahrt durch die Loreley-Passage immer noch mit besonderem Risiko verbunden.  / Im September 2003 lief bei extremem Niedrigwasser das Fahrgastschiff Loreley mit 349 Passagieren und elf Besatzungsmitgliedern an Bord auf Grund.  / Im Januar 2011 kenterte ein schwer beladenes Tankmotorschiff bei der Talfahrt in Höhe des Loreleyfelsens.  / Bei der Loreley selbst ist der Rhein 160 Meter breit und war bis zu 25 Meter tief.  / Die Rechte Rheinstrecke der Bahn hat den Loreleyfelsen und den Roßstein untertunnelt.  / Der erste, der den Felsennamen auf eine Person übertrug, war der Dichter Clemens Brentano.  / Heinrich Heine prägte die Figur der Loreley als eine Art Nixe, die gleich einer Sirene durch ihren Gesang und ihre Schönheit die Rheinschiffer in ihren Bann zieht.  / Bei der Loreley-Ballade handelt es sich um eine Variation des antiken Echo-Mythos.  / Das Thema der Lorelei greift Brentano in seinen Rheinmärchen von 1846 wieder auf."					
output	ask_hannover		"Hannover ist die Hauptstadt des Landes Niedersachsen.  / Unter dem Namen Hanovere wurde Hannover 1150 erstmals urkundlich erwähnt.  / Hannover war ab 1814 Hauptstadt des Königreichs Hannover.  / 1875 wurde Hannover mit über 100.000 Einwohnern zur Großstadt.  / Heute gehört Hannover mit 518.386 Einwohnern zu den 15 größten Städten Deutschlands.  / Hannover  ist Teil der Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg.  / Hannover liegt an der Leine.  / Hannover ist durch die CeBIT-Messe international bekannt.  / Über den Mittellandkanal ist Hannover an das Binnenschifffahrtsnetz angebunden.  / Hannover ist Standort von acht Hochschulen.  / Die naturräumliche und verkehrsgeographische Lage bot Hannover günstige Voraussetzungen für die Entwicklung vom mittelalterlichen Dorf zur Großstadt.   / Hannover besteht aus 51 Stadtteilen.  / Über elf Prozent des etwa 200 Quadratkilometer großen Stadtgebietes sind öffentliche Grünflächen, weshalb Hannover auch als Großstadt im Grünen bezeichnet wird.  / Im langjährigen Mittel erreicht die Lufttemperatur in Hannover 8,7 Grad Celsius und es fallen 661 Millimeter Niederschlag.  / Hannover entstand aus einer mittelalterlichen Siedlung an einer hochwassergeschützten Stelle am Leineufer.  / Als Folge des Deutschen Krieges von 1866 wurde das Königreich Hannover von Preußen annektiert.  / 1872 wurde in Hannover die erste Pferdebahn eingeweiht, die ab 1893 zur elektrischen Straßenbahn weiterentwickelt wurde.  / Die Schallplatte und das Grammophon wurden in Hannover erfunden.  / In Hannover gründete Rudolf Augstein 1947 das Magazin Der Spiegel.  / Am 23. Juni 1965 beschloss der Rat der Stadt Hannover, eine U-Bahn zu bauen.  / Um 1435 lebten in Hannover etwa 5.000 Menschen.  / Im Zentrum der Altstadt Hannover befindet sich die im 14. Jahrhundert erbaute Marktkirche.  / Eine der bekanntesten Sehenswürdigkeiten Hannovers sind die Herrenhäuser Gärten.  /"					
output	ask_göttingen		"Göttingen ist eine Universitätsstadt in Südniedersachsen.  / Mit einem Anteil von rund 20 Prozent Studenten an der Bevölkerung ist das Leben in Göttingen stark von der Universität geprägt.  / Göttingen erlangte um 1230 die Stadtrechte.  / Göttingen wurde 1964 zur Großstadt und ist heute eines der neun Oberzentren von Niedersachsen.  / Göttingen liegt im Süden der Europäischen Metropolregion Hannover-Braunschweig-Göttingen-Wolfsburg.  / Die Stadt Göttingen liegt innerhalb der gemäßigten Breiten im Übergangsbereich zwischen ozeanisch und kontinental geprägten Gebieten.  / Das Stadtgebiet Göttingens ist in 18 Stadtbezirke und Stadtteile eingeteilt.  / Im Mai ist mit 6,3 Stunden täglich der meiste Sonnenschein in Göttingen zu erwarten.  / Nach dem Tode Albrecht des Feisten 1318 kam Göttingen über Otto den Milden an Herzog Ernst I.   / Im Jahre 1623 wurde Göttingen erstmals in den 1618 ausgebrochenen Dreißigjährigen Krieg einbezogen.  / Nach fast dreißigjähriger Diskussion entschloss Göttingen im April 1914, eine Straßenbahn einzurichten.   / Das Wappen der Stadt Göttingen geht zurück auf das älteste erhaltene Siegel der Stadt aus dem Jahr 1278.   / Außerhalb Göttingens gibt es kein Leben, gibt es Leben, dann kein solches.  / Göttingen hat ünf Gymnasien.  / 1964 machte das Chanson Göttingen der französischen Sängerin Barbara die Stadt bekannt.   / Seit 1992 findet jährlich im Herbst der zehntägige Göttinger Literaturherbst statt."					
output	ask_nationalmannschaft		"Die deutsche Nationalmannschaft repräsentiert den Deutschen Fußball-Bund als Auswahlmannschaft auf internationaler Ebene.  / Die deutsche Nationalmannschaft ist amtierender Weltmeister.  / Die deutsche Nationalmannschaft ist zurzeit erster der FIFA-Weltrangliste.  / Die DFB-Auswahl zählt zu den erfolgreichsten Nationalmannschaften weltweit.  / Die deutsche Nationalmannschaft wurde viermal Fußballweltmeister.  / Die deutsche Nationalmannschaft wurde dreimal Europameister.   / Die Nationalmannschaft wurde zehnmal zu Deutschlands Mannschaft des Jahres gewählt.  / Im fremdsprachigen Ausland wird die Nationalmannschaft oft mit dem deutschen Begriff die Mannschaft bezeichnet.  / In Anlehnung an den Deutschen Adler wird für die Nationalmannschaft oft der Spitzname Die Adler verwendet.  / Am 28. Dezember 1958 trat die Nationalmannschaft in Kairo erstmals außerhalb Europas zu einem Länderspiel an, das sie gegen die Auswahl Ägyptens mit 1 zu 2 verlor.  / 1972 wurde die deutsche Nationalmannschaft erstmals Europameister.  / Mit der Weltmeisterschaft 1974 in Deutschland gewann die Nationalmannschaft zum zweiten Mal den Weltmeister-Titel.   / 1954 gewann die Nationalmannschaft durch das sogenannte Wunder von Bern den Weltmeister-Titel.  / Bei der Weltmeisterschaft 1990 in Italien gewann die Nationalmannschaft den dritten Weltmeister-Titel.  / Bei der Europameisterschaft 1996 in England gewann die Nationalmannschaft dank des ersten Golden Goals zum dritten Mal eine Europameisterschaft.  / Die Nationalmannschaft verpasste 2006 mit einem 0 zu 2 nach Verlängerung gegen Italien den Einzug ins Finale.  / 2014 wurde die Nationalmannschaft zum vierten Mal Weltmeister.  / Die deutsche Nationalmannschaft ist die erste europäische Nationalmannschaft, die den Titel bei einer WM in Südamerika geholt hat.  / In der Qualifikation zur EM 2016 trifft die Nationalmannschaft auf Schottland, Polen, Irland, Gibraltar und Georgien.  / Bisher spielten 915 Spieler für die Nationalmannschaft.  / Bisher haben zehn Spieler mindestens 100 Spiele für die deutsche Nationalmannschaft absolviert.  / Bisher trafen 329 Spieler mindestens einmal für die deutsche Nationalmannschaft.  / Deutschland hat zusammen mit Brasilien von allen Nationalmannschaften die meisten Spieler, die mindestens 30 Länderspieltore erzielt haben.  / Am häufigsten stand bisher Lothar Matthäus als Mannschaftskapitän der deutsche Nationalmannschaft auf dem Spielfeld.   / Der erfolgreichste Spieler ist Franz Beckenbauer, der die Nationalmannschaft als Kapitän zu einem Weltmeisterschafts- und einem Europameisterschaftstitel führte."					
